nothing	word	time	filler
Enbridge	"""Enbridge"""	12	7
"""19."	"""""19."""	12	0
"""3."	"""""3."""	12	2
"""2."	"""""2."""	12	0
"""1."	"""""1."""	12	0
"""5."	"""""5."""	12	0
"""11."	"""""11."""	12	6
"""10."	"""""10."""	12	5
"""8."	"""""8."""	12	2
"""14."	"""""14."""	12	2
"""17."	"""""17."""	12	2
"""22."	"""""22."""	12	2
"""18."	"""""18."""	12	7
"""6."	"""""6."""	12	2
"""20."	"""""20."""	12	5
"""12."	"""""12."""	12	2
"""9."	"""""9."""	12	2
"""21."	"""""21."""	12	2
"""7."	"""""7."""	12	5
"""13."	"""""13."""	12	2
"""16."	"""""16."""	12	5
"""4."	"""""4."""	12	2
"""15."	"""""15."""	12	5
The	"""The"""	12	0
The	"""The"""	12	3
construction	"""construction"""	12	0
All	"""All"""	12	3
The	"""The"""	12	3
file	"""file"""	12	3
Westcoast	"""Westcoast"""	12	0
This	"""This"""	12	3
Westcoast	"""Westcoast"""	12	0
file	"""file"""	12	0
TransCanada	"""TransCanada"""	12	0
file	"""file"""	12	0
TransCanada	"""TransCanada"""	12	0
TransCanada	"""TransCanada"""	12	3
TransCanada	"""TransCanada"""	12	0
TransCanada	"""TransCanada"""	12	3
TransCanada	"""TransCanada"""	12	3
TransCanada	"""TransCanada"""	12	2
TransCanada	"""TransCanada"""	12	5
TransCanada	"""TransCanada"""	12	3
	""""""	12	5
11.	"""11."""	12	2
TransCanada	"""TransCanada"""	12	5
TransCanada	"""TransCanada"""	12	3
13.	"""13."""	12	3
TransCanada	"""TransCanada"""	12	2
TransCanada	"""TransCanada"""	12	2
Unless	"""Unless"""	12	5
TransCanada	"""TransCanada"""	12	7
12.	"""12."""	12	0
TransCanada	"""TransCanada"""	12	5
The	"""The"""	12	2
construction	"""construction"""	12	3
construction	"""construction"""	12	0
NGLT	"""NGLT"""	12	2
Unless	"""Unless"""	12	0
file	"""file"""	12	7
Westcoast	"""Westcoast"""	12	0
Unless	"""Unless"""	12	2
Westcoast	"""Westcoast"""	12	7
On	"""On"""	12	2
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	2
Westcoast	"""Westcoast"""	12	5
Westcoast	"""Westcoast"""	12	5
file	"""file"""	12	2
On	"""On"""	12	0
Westcoast	"""Westcoast"""	12	2
TNPI	"""TNPI"""	12	2
TNPI	"""TNPI"""	12	1
TNPI	"""TNPI"""	12	1
The	"""The"""	12	5
On	"""On"""	12	5
On	"""On"""	12	6
On	"""On"""	12	4
Penn	"""Penn"""	12	5
Penn	"""Penn"""	12	0
Penn	"""Penn"""	12	0
file	"""file"""	12	0
file	"""file"""	12	0
Unless	"""Unless"""	12	0
Unless	"""Unless"""	12	7
Enbridge	"""Enbridge"""	12	7
Enbridge	"""Enbridge"""	12	0
file	"""file"""	12	0
MPLL	"""MPLL"""	12	0
MPLL	"""MPLL"""	12	0
file	"""file"""	12	3
MPLL	"""MPLL"""	12	0
Enbridge	"""Enbridge"""	12	0
file	"""file"""	12	2
Unless	"""Unless"""	12	0
CNRL	"""CNRL"""	12	7
At	"""At"""	12	0
CNRL	"""CNRL"""	12	5
CNRL	"""CNRL"""	12	0
Unless	"""Unless"""	12	3
file	"""file"""	12	7
Alliance	"""Alliance"""	12	0
Alliance	"""Alliance"""	12	0
file	"""file"""	12	0
Alliance	"""Alliance"""	12	0
Unless	"""Unless"""	12	3
	""""""	12	7
Operating	"""Operating"""	12	8
file	"""file"""	12	3
file	"""file"""	12	3
Dome	"""Dome"""	12	3
Dome	"""Dome"""	12	0
Dome	"""Dome"""	12	0
file	"""file"""	12	0
