word	time	filler
Confirmation		3
Reactivation		4
Tank		6
Updated		3
Caribou		5
Fugitive		2
Marine		2
Pipeline		2
Slack		3
Marine		3
Riparian		12
Secondary		2
Firefighting		2
Air		4
Visual		2
9		5
Joining		9
Burnaby		3
Notification		2
Grasslands		4
Reporting		2
Watercourse		4
Hydrology		2
As		2
"Aboriginal,"		5
Burnaby		12
Seismic		3
Commercial		3
Existing		8
Certificate		3
Technical		7
Reports		5
Weed		12
Field		2
Burnaby		3
Secondary		3
Landowner		3
Fault		12
Fugitive		3
Fugitive		2
Landowner		2
Grizzly		12
Burnaby		2
Fugitive		3
Emergency		2
Offset		4
Consultation		2
Air		12
Full-scale		2
Community		4
Plan		12
Secondary		5
Slack		2
Nooksack		3
As		2
"Aboriginal,"		5
Authorizations		12
Air		2
Control		2
Sumas		3
Fugitive		3
Construction		2
Project		6
Implementing		5
Traditional		4
Joining		12
Secondary		3
Authorizations		3
Emergency		2
Training		3
Baseline		5
Risk		3
Updated		3
"Burnaby,"		3
Updated		5
Training		3
Light		12
Ongoing		2
Westridge		5
Secondary		2
Valve		3
Authorization(s)		3
List		2
Water		5
Air		5
SCADA		2
1057533		3
Unless		0
1057533		7
At		0
Within		6
NGTL		0
Unless		3
NGTL		7
NGTL		3
NGTL		3
NGTL		3
#9		0
NGTL		9
#4a)-NGTL		0
#8-		5
#10-		4
#11-		3
#2		0
NGTL		5
#4b)		5
#5-NGTL		5
Unless		3
NGTL		7
#7-For		0
#6-On		5
#		5
Should		5
At		3
Within		5
At		0
Enbridge		2
Enbridge		3
At		3
Unless		5
Unless		7
(3)		7
(1)		5
(2)		1
In		1
This		3
Westcoast		7
Unless		3
Enbridge		7
Unless		0
Enbridge		7
Enbridge		0
KEYERA		3
No		3
KEYERA		5
KEYERA		0
Unless		0
Within		7
Enbridge		0
Glenogle		2
Glenogle		0
In		5
In		5
Glenogle		4
Glenogle		0
Glenogle		3
Within		4
Glenogle		0
Glenogle		0
IT		0
IT		7
"1.	M&NP"		7
"2.	M&NP"		0
All		0
No		10
Should		10
Additional		10
Prior		10
The		10
The		10
The		10
Original		10
TQM		10
TQM		0
TQM		0
Unless		0
Within		7
Trans		0
Within		0
Trans		7
Trans		0
Tans		0
Within		0
Bow		0
Bow		3
Bow		0
Bow		4
Within		0
Unless		7
(2)		7
(7)		3
(4a)		3
(5f)		3
(3)		1
(4f)		1
(1)		1
Subject		1
(2)		1
(4c)		1
TransCanada		1
(4e)		1
(5d)		1
(4d)		1
(1)		1
(6)		1
(5c)		1
(5b)		1
(4b)		1
(5e)		1
The		1
Within		1
NGTL		1
(5a)		1
Within		1
Unless		6
Keystone		7
Within		2
Unless		0
Keystone		7
Keystone		0
1.		0
2.		3
3.		1
4.		1
Within		1
Unless		3
Within		7
Within		3
Within		3
M&NP		0
M&NP		0
M&NP		0
No		0
TCPL		3
If		1
TCPL		1
At		1
NGTL		12
NGTL		0
NGTL		5
This		2
NGTL		7
At		0
NGTL		5
On		5
NGTL		2
Within		5
"""NGTL"		0
NGTL		2
This		5
NGTL		7
NGTL		2
NGTL		3
NGTL		5
NGTL		0
NGTL		6
At		0
IT		5
NuVista		7
NuVista		2
NuVista		0
Whitecap		0
IT		3
Whitecap		7
In		4
Within		2
Unless		0
Minell		7
Minellshall		0
Unless		0
Minell		7
Minell		3
Minell		3
Minellshall		0
"""Within"		3
Westcoast		0
Unless		3
Enbridge		7
Within		0
Unless		0
Enbridge		7
Enbridge		5
Enbridge		0
Unless		0
Within		7
MPLL		0
MPLL		0
MPLLshall		0
Unless		0
Trans		7
Trans		3
Within		0
Unless		0
Enbridge		7
Enbridge		2
Unless		3
Within		7
Enbridge		0
No		0
Unless		1
TQM		7
NGTL		0
Within		3
This		3
Within		7
NGTL		0
Unless		5
Pouce		7
Within		3
Pouce		0
Pouce		0
Unless		0
NGTL		7
Within		2
Enbridge		0
Enbridge		0
Unless		3
Alliance		7
Alliance		3
Unless		5
Pouce		7
Unless		2
Within		7
Unless		0
Within		7
Within		0
Unless		2
